qid,group,proposed_bucket,why_unanswered,proposed_action,question,routed_intent,answer_status,category,stakeholder_role,complexity_l,source,elapsed_s,answer,fixed,notes
Q1063,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,"If the building were rated like a hotel, what would guests score us, per the data?",capability,observed,Cross-domain / open-ended reasoning,Comms team,,v5_synthetic_bank,9.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q1082,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Which of the building's KPIs would you flag to a new facilities director first?,capability,observed,Cross-domain / open-ended reasoning,Executive,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q1090,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,"Are any radiators painted shut or blocked by furniture, per the survey?",capability,observed,"Documents, compliance & institutional knowledge",Maintenance technician,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q1095,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,What would a burst mains on the street do to us - do we have storage?,capability,observed,"Safety, security & emergency",Facility manager,,v5_synthetic_bank,7.1,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q1099,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,"If this building had a report card this year, what grades would you give and why?",capability,observed,Cross-domain / open-ended reasoning,Executive,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q1100,DECLINE,ROUTING-FORECAST,a forecast lane exists; the question is forward-looking,route to trend/forecast; confirm the modality is forecastable,"A year from now, what do you predict will be this building's biggest problem?",capability,observed,Prediction & forward-looking,Facility manager,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
UG-046,DECLINE,ROUTING-WAYFINDING,a floor plan and spatial lane exist for this,route to floor_plan/spatial_query; check the referent resolves,I have back-to-back classes on different floors. Which route gives me the best chance of arriving on time?,capability,observed,,Undergraduate Student,L3,supervisor_catalogue_2026-08,0.8,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
UG-052,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,"Has this study area really been warmer than similar spaces once occupancy, weather and time of day are taken into account?",spatial_query,observed,,Undergraduate Student,L4,supervisor_catalogue_2026-08,72.7,I encountered an error analysing the spatial data. Please try again.,,
UG-072,DECLINE,ROUTING-FORECAST,a forecast lane exists; the question is forward-looking,route to trend/forecast; confirm the modality is forecastable,"The room feels unusually cold. Is this brief and expected, or persistent enough that I should report it?",capability,observed,,Undergraduate Student,L3,supervisor_catalogue_2026-08,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
UG-079,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,"Why should I trust this answer, and can you show me the sources used, how recent they are and what evidence is missing?",capability,observed,,Undergraduate Student,L2,supervisor_catalogue_2026-08,67.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
PGT-052,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,"My train is delayed. What is the fastest open route to the seminar, and where can I check the official late-arrival procedure?",spatial_query,observed,,Taught Postgraduate Student,L2,supervisor_catalogue_2026-08,11.7,I encountered an error analysing the spatial data. Please try again.,,
PGT-055,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,"From the arrival point I provide, which open entrance and step-free route should I use to reach my room?",spatial_query,observed,,Taught Postgraduate Student,L2,supervisor_catalogue_2026-08,20.3,I encountered an error analysing the spatial data. Please try again.,,
PGT-056,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,I am new to Abacws. Can you explain how the floors and room numbers work and guide me to my seminar using clear landmarks?,spatial_query,observed,,Taught Postgraduate Student,L1,supervisor_catalogue_2026-08,22.5,I encountered an error analysing the spatial data. Please try again.,,
PGT-058,DECLINE,DATA-SCHEDULE,"timetable, booking or event data is not sourced for this",onboard the institutional layer (timetable/bookings) -- V6-T57,"Where can I join a 30-minute online call before my evening class, while still being able to reach the class and leave the building afterwards?",capability,observed,,Taught Postgraduate Student,L2,supervisor_catalogue_2026-08,0.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
PGT-077,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,"How confident is this room recommendation, which evidence is weakest, and when should I recheck it?",capability,observed,,Taught Postgraduate Student,L4,supervisor_catalogue_2026-08,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
PHD-018,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,"An external reviewer is coming to Abacws for my progress meeting. What verified entrance, step-free route and waiting arrangement should I send them?",spatial_query,observed,,PhD Student,L3,supervisor_catalogue_2026-08,7.8,I encountered an error analysing the spatial data. Please try again.,,
PHD-029,DECLINE,ROUTING-ANOMALY,an anomaly/diagnosis lane exists and holds this data,route to events/anomaly instead of capability,One sensor stream is drifting away from comparable nearby measurements and contains gaps. Is that more consistent with a genuine local difference or a sensor-quality problem?,capability,observed,,PhD Student,L4,supervisor_catalogue_2026-08,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
PHD-049,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,"I need to carry a poster tube, laptop and demonstration equipment to the presentation room. What is the simplest verified step-free route with the fewest likely pinch points?",spatial_query,observed,,PhD Student,L2,supervisor_catalogue_2026-08,9.1,I encountered an error analysing the spatial data. Please try again.,,
PHD-076,DOC_NOT_FOUND,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,How much does my room-comparison conclusion change if I exclude periods with sensor gaps or use another scientifically justified missing-data treatment?,capability,observed,,PhD Student,L4,supervisor_catalogue_2026-08,0.8,"I could not find a passage in **Abacws Building**'s documents that directly addresses this. The closest related material is below, and it may not answer your question:**From: Room Bookings**# Room Bookings — Abacws Building **Source:** Room booking system (Timetabling Office, Cardiff University) **Coverage:** Week commencing 2026-06-10 (Monday–Friday) **Note:** This document reflects bookings submitted to the timetabling office. Real-time updates may differ. For urgent changes contact timetabling@cardiff.ac.uk. --- ## Floor 5 Rooms ### Room 5.01 — Seminar Room (capacity: 20) | Date | Time | Event | Organiser | |------------|--------------|---------------------------------------------|------------------------| | Mon 10 Jun | 09:00–11:00 | Research group meeting — Smart Buildings | Dr Owens (CS Dept) | | Mon 10 Jun | 14:00–16:00 | PhD progress review | Graduate School | | Tue 11 Jun | 10:00–12:00 | Sensor calibration workshop | Lab Technician | | Wed 12 Jun | 09:00–11:00 | Project planning session | OntoSage team | | Thu 13 Jun | 14:00–17:00 | External visitor seminar | Industry Liaison | | Fri 14 Jun | 11:00–13:00 | Lab group discussion | Prof Davies | ### Room 5.02 — Seminar Room (capacity: 20) | Date | Time | Event | Organiser | |------------|--------------|----------------------------------------------|------------------------| | Mon 10 Jun | 10:00–12:00 | Lecture: Smart Grid Systems (ENG4012) | Dr Patel | | Tue 11 Jun | 09:00–11:00 | Tutorial: IoT Protocols | Teaching Team | | Wed 12 Jun | 14:00–16:00 | Dissertation supervision sessions | Academic Staff | | Thu 13 Jun | 09:00–13:00 | Guest lecture: Carbon Neutral Buildings | Prof Al-Rashid (UCL) | | Fri 14 Jun | 09:00–11:00 | Weekly standup — research group | Dr Owens | ### Room 5.03 — Lecture/Seminar Room (capacity: 30) | Date | Time | Event | Organiser | |------------|--------------|----------------------------------------------|------------------------| | Mon 10 Jun | 11:00–13:00 | Lecture: Building Automation (ENG3045) | Prof Davies | | Tue 11 Jun | 14:00–16:00 | Workshop: Data Analytics for Buildings | Research Team | | Wed 12 Jun | 09:00–17:00 | All-day symposium: Urban Sensing 2026 | School of Engineering | | Thu 13 Jun | 10:00–12:00 | Coursework feedback session | Teaching Assistants | | Fri 14 Jun | 13:00–15:00 | Industry partnership meeting | Industry Liaison | ### Room 5.08 — Large Seminar/Teaching Room (capacity: 50) | Date | Time | Event | Organiser | |------------|--------------|----------------------------------------------|------------------------| | Mon 10 Jun | 09:00–11:00 | Lecture: Sustainable Engineering (ENG2001) | Prof Singh | | Mon 10 Jun | 14:00–16:00 | Practical session: Sensor Networks | Dr Owens | | Tue 11 Jun | 10:00–13:00 | Examination: ENG3045 | Examinations Office**From: Hvac Operation**|-----------|--------|----------------| | CO2 | < 800 ppm (occupied) | > 1000 ppm triggers demand-control ventilation boost | | TVOC | < 300 ppb | > 500 ppb triggers investigation | | PM2.5 | < 12 μg/m³ (24h avg) | > 35 μg/m³ triggers air quality alert | | Relative humidity | 40–60% | < 30% or > 70% triggers fault log | ## Maintenance Schedule - **Filters**: Changed every 6 months (April and October) — HEPA G4/F7 combination - **Heat recovery wheel**: Inspected quarterly, cleaned annually - **Boiler servicing**: Annual (July, during summer shutdown) - **Chiller checks**: Monthly inspection by campus facilities team - **Fire dampers**: Tested annually as part of fire safety compliance ## OntoSage Integration OntoSage monitors temperature, humidity, CO2, TVOC, and air quality index via sensors on Floor 5. Sensor readings update every 30 seconds. HVAC setpoint changes can be **requested** through OntoSage by authorised users (Facility Manager role), subject to approval workflow. Physical actuation requires the Honeywell BMS driver integration (planned; current deployment uses simulation mode).---*Source: building documents. For the most current version, contact facility management.*",,
RS-054,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,"I'll be in Abacws until 10 p.m. Which permitted workspace still has confirmed lighting, network service and a practical route to the authorised exit?",spatial_query,observed,,Research Staff,L2,supervisor_catalogue_2026-08,8.2,I encountered an error analysing the spatial data. Please try again.,,
RS-063,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,A visiting collaborator needs step-free access and caption-capable hybrid AV. Which bookable room and verified route meet both requirements?,spatial_query,observed,,Research Staff,L2,supervisor_catalogue_2026-08,8.1,I encountered an error analysing the spatial data. Please try again.,,
RS-069,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,"I may need to work alone late and require a step-free route. Which check-in, workspace, exit and contingency arrangements officially apply to me?",spatial_query,observed,,Research Staff,L4,supervisor_catalogue_2026-08,23.2,I encountered an error analysing the spatial data. Please try again.,,
RS-079,DOC_NOT_FOUND,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,"Our deadline week depends on several rooms and services. What are the main availability risks, and which backups avoid the same failure points?",capability,observed,,Research Staff,L4,supervisor_catalogue_2026-08,0.6,"I could not find a passage in **Abacws Building**'s documents that directly addresses this. The closest related material is below, and it may not answer your question:**From: Hvac Operation**|-----------|--------|----------------| | CO2 | < 800 ppm (occupied) | > 1000 ppm triggers demand-control ventilation boost | | TVOC | < 300 ppb | > 500 ppb triggers investigation | | PM2.5 | < 12 μg/m³ (24h avg) | > 35 μg/m³ triggers air quality alert | | Relative humidity | 40–60% | < 30% or > 70% triggers fault log | ## Maintenance Schedule - **Filters**: Changed every 6 months (April and October) — HEPA G4/F7 combination - **Heat recovery wheel**: Inspected quarterly, cleaned annually - **Boiler servicing**: Annual (July, during summer shutdown) - **Chiller checks**: Monthly inspection by campus facilities team - **Fire dampers**: Tested annually as part of fire safety compliance ## OntoSage Integration OntoSage monitors temperature, humidity, CO2, TVOC, and air quality index via sensors on Floor 5. Sensor readings update every 30 seconds. HVAC setpoint changes can be **requested** through OntoSage by authorised users (Facility Manager role), subject to approval workflow. Physical actuation requires the Honeywell BMS driver integration (planned; current deployment uses simulation mode).---*Source: building documents. For the most current version, contact facility management.*",,
LT-005,DOC_NOT_FOUND,DATA-PEOPLE,"asks about staff, roles or a named person's whereabouts","check this is not a privacy refusal first; if legitimate, needs an HR/directory source","If my assigned room is withdrawn, which currently eligible alternative should I ask the room team to consider?",capability,observed,,Lecturer or Tutor,L2,supervisor_catalogue_2026-08,0.7,"I could not find a passage in **Abacws Building**'s documents that directly addresses this. The closest related material is below, and it may not answer your question:**From: Room Bookings**# Room Bookings — Abacws Building **Source:** Room booking system (Timetabling Office, Cardiff University) **Coverage:** Week commencing 2026-06-10 (Monday–Friday) **Note:** This document reflects bookings submitted to the timetabling office. Real-time updates may differ. For urgent changes contact timetabling@cardiff.ac.uk. --- ## Floor 5 Rooms ### Room 5.01 — Seminar Room (capacity: 20) | Date | Time | Event | Organiser | |------------|--------------|---------------------------------------------|------------------------| | Mon 10 Jun | 09:00–11:00 | Research group meeting — Smart Buildings | Dr Owens (CS Dept) | | Mon 10 Jun | 14:00–16:00 | PhD progress review | Graduate School | | Tue 11 Jun | 10:00–12:00 | Sensor calibration workshop | Lab Technician | | Wed 12 Jun | 09:00–11:00 | Project planning session | OntoSage team | | Thu 13 Jun | 14:00–17:00 | External visitor seminar | Industry Liaison | | Fri 14 Jun | 11:00–13:00 | Lab group discussion | Prof Davies | ### Room 5.02 — Seminar Room (capacity: 20) | Date | Time | Event | Organiser | |------------|--------------|----------------------------------------------|------------------------| | Mon 10 Jun | 10:00–12:00 | Lecture: Smart Grid Systems (ENG4012) | Dr Patel | | Tue 11 Jun | 09:00–11:00 | Tutorial: IoT Protocols | Teaching Team | | Wed 12 Jun | 14:00–16:00 | Dissertation supervision sessions | Academic Staff | | Thu 13 Jun | 09:00–13:00 | Guest lecture: Carbon Neutral Buildings | Prof Al-Rashid (UCL) | | Fri 14 Jun | 09:00–11:00 | Weekly standup — research group | Dr Owens | ### Room 5.03 — Lecture/Seminar Room (capacity: 30) | Date | Time | Event | Organiser | |------------|--------------|----------------------------------------------|------------------------| | Mon 10 Jun | 11:00–13:00 | Lecture: Building Automation (ENG3045) | Prof Davies | | Tue 11 Jun | 14:00–16:00 | Workshop: Data Analytics for Buildings | Research Team | | Wed 12 Jun | 09:00–17:00 | All-day symposium: Urban Sensing 2026 | School of Engineering | | Thu 13 Jun | 10:00–12:00 | Coursework feedback session | Teaching Assistants | | Fri 14 Jun | 13:00–15:00 | Industry partnership meeting | Industry Liaison | ### Room 5.08 — Large Seminar/Teaching Room (capacity: 50) | Date | Time | Event | Organiser | |------------|--------------|----------------------------------------------|------------------------| | Mon 10 Jun | 09:00–11:00 | Lecture: Sustainable Engineering (ENG2001) | Prof Singh | | Mon 10 Jun | 14:00–16:00 | Practical session: Sensor Networks | Dr Owens | | Tue 11 Jun | 10:00–13:00 | Examination: ENG3045 | Examinations Office---*Source: building documents. For the most current version, contact facility management.*---*⚠️ I summarised the data above but couldn't render the chart this time. Please try again, or rephrase the request as e.g. ""plot sensor 5.27 temperature for the last 24 hours as a line chart"".*",,
LT-009,DECLINE,DATA-SCHEDULE,"timetable, booking or event data is not sourced for this",onboard the institutional layer (timetable/bookings) -- V6-T57,"For this two-hour class, is there evidence to plan a short break, and when would a recheck be most useful?",capability,observed,,Lecturer or Tutor,L3,supervisor_catalogue_2026-08,0.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
LT-013,DOC_NOT_FOUND,CONTROL-SUBSCRIPTION,"asks the system to ACT or keep sending, not to answer",control lane: decline honestly and name what it can do instead,Can you notify me only when a verified room or service condition persists beyond an agreed teaching threshold?,capability,observed,,Lecturer or Tutor,L2,supervisor_catalogue_2026-08,0.6,"I could not find a passage in **Abacws Building**'s documents that directly addresses this. The closest related material is below, and it may not answer your question:I don't hold a specific date for this — what follows is the related information I do have.**From: Hvac Operation**|-----------|--------|----------------| | CO2 | < 800 ppm (occupied) | > 1000 ppm triggers demand-control ventilation boost | | TVOC | < 300 ppb | > 500 ppb triggers investigation | | PM2.5 | < 12 μg/m³ (24h avg) | > 35 μg/m³ triggers air quality alert | | Relative humidity | 40–60% | < 30% or > 70% triggers fault log | ## Maintenance Schedule - **Filters**: Changed every 6 months (April and October) — HEPA G4/F7 combination - **Heat recovery wheel**: Inspected quarterly, cleaned annually - **Boiler servicing**: Annual (July, during summer shutdown) - **Chiller checks**: Monthly inspection by campus facilities team - **Fire dampers**: Tested annually as part of fire safety compliance ## OntoSage Integration OntoSage monitors temperature, humidity, CO2, TVOC, and air quality index via sensors on Floor 5. Sensor readings update every 30 seconds. HVAC setpoint changes can be **requested** through OntoSage by authorised users (Facility Manager role), subject to approval workflow. Physical actuation requires the Honeywell BMS driver integration (planned; current deployment uses simulation mode).---*Source: building documents. For the most current version, contact facility management.*",,
LT-016,DECLINE,DATA-SCHEDULE,"timetable, booking or event data is not sourced for this",onboard the institutional layer (timetable/bookings) -- V6-T57,"Did the previous class leave too little recovery time before mine, or are today's conditions within the room's normal turnaround pattern?",capability,observed,,Lecturer or Tutor,L3,supervisor_catalogue_2026-08,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
LT-022,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,Which currently authorised space could I request for an office-hour conversation needing step-free access and reasonable acoustic privacy?,spatial_query,observed,,Lecturer or Tutor,L2,supervisor_catalogue_2026-08,6.4,I encountered an error analysing the spatial data. Please try again.,,
LT-041,DECLINE,ROUTING-WAYFINDING,a floor plan and spatial lane exist for this,route to floor_plan/spatial_query; check the referent resolves,I have ten minutes between rooms on different floors. Is the authorised route realistically achievable at class-change time?,capability,observed,,Lecturer or Tutor,L2,supervisor_catalogue_2026-08,0.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
LT-043,DECLINE,DATA-SCHEDULE,"timetable, booking or event data is not sourced for this",onboard the institutional layer (timetable/bookings) -- V6-T57,"The previous class may overrun. When is the room officially released, and how much verified setup time will remain?",capability,observed,,Lecturer or Tutor,L2,supervisor_catalogue_2026-08,0.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
LT-045,DECLINE,ACCESS-RULES,"asks about permission, access rights or what is allowed",author the rule as a KnowledgeTopic; check it is not a privacy/RBAC question first,At what time am I officially allowed to enter this room and begin setup?,capability,observed,,Lecturer or Tutor,L1,supervisor_catalogue_2026-08,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
LT-067,DOC_NOT_FOUND,DATA-SAFETY,safety/compliance state is not sourced,"onboard alarm/compliance state, or author it as knowledge triples","If an alarm activates, can the service relay only the official status and instructions, with the alarm system taking precedence?",capability,observed,,Lecturer or Tutor,L1,supervisor_catalogue_2026-08,0.6,"I could not find a passage in **Abacws Building**'s documents that directly addresses this. The closest related material is below, and it may not answer your question:**From: Hvac Operation**|-----------|--------|----------------| | CO2 | < 800 ppm (occupied) | > 1000 ppm triggers demand-control ventilation boost | | TVOC | < 300 ppb | > 500 ppb triggers investigation | | PM2.5 | < 12 μg/m³ (24h avg) | > 35 μg/m³ triggers air quality alert | | Relative humidity | 40–60% | < 30% or > 70% triggers fault log | ## Maintenance Schedule - **Filters**: Changed every 6 months (April and October) — HEPA G4/F7 combination - **Heat recovery wheel**: Inspected quarterly, cleaned annually - **Boiler servicing**: Annual (July, during summer shutdown) - **Chiller checks**: Monthly inspection by campus facilities team - **Fire dampers**: Tested annually as part of fire safety compliance ## OntoSage Integration OntoSage monitors temperature, humidity, CO2, TVOC, and air quality index via sensors on Floor 5. Sensor readings update every 30 seconds. HVAC setpoint changes can be **requested** through OntoSage by authorised users (Facility Manager role), subject to approval workflow. Physical actuation requires the Honeywell BMS driver integration (planned; current deployment uses simulation mode).---*Source: building documents. For the most current version, contact facility management.*",,
